FlightId,FlightSource,FlightDest,FlightDate,FlightSeat,TicketCost
1,Shiqiao,Wakimachi,2021-09-16 22:14:59,15,82
2,Putukrejo,Coromandel,2021-09-12 08:25:31,41,94
3,Višnjićevo,Naranjal,2022-01-19 09:23:30,68,13
4,Sindangan,Milanówek,2021-11-14 18:43:40,82,21
5,Chakou,Lubbock,2021-07-26 13:58:48,85,79
6,Birmingham,Mýki,2021-05-01 02:13:48,72,100
7,Somerset East,Meybod,2021-07-24 11:38:17,90,40
8,Ddmashen,Bonneuil-sur-Marne,2021-05-20 04:54:29,19,31
9,Moche,Kota Kinabalu,2021-03-03 03:49:04,17,48
10,Chisong,Chicama,2021-10-04 22:51:30,97,58
11,Bell Ville,Schaumburg,2021-09-27 22:40:49,42,73
12,Dong’an,Wichita,2021-03-15 15:27:35,71,65
13,Shuidun,Pont Cassé,2021-07-16 09:14:11,12,22
14,Blendis,Huashi,2021-06-15 13:30:12,30,11
15,Dziemiany,Chengzhong,2021-04-27 22:45:32,16,63
16,Huotian,Barrio San Luis,2021-08-06 07:20:36,39,21
17,Firmat,Longbei,2021-06-02 17:11:48,66,37
18,Rostock,Rājo Khanāni,2021-05-20 19:25:57,39,40
19,Khāndbāri,San Juan,2021-01-25 06:35:36,55,65
20,Donggaocun,Campina Grande,2021-08-05 21:15:21,95,33
21,Pasarbaru,Chaltyr,2021-06-09 13:37:46,44,73
22,Noenoni,Ngudu,2021-05-21 16:20:39,47,7
23,Severo-Yeniseyskiy,Chapayevka,2021-02-04 19:21:09,47,15
24,Songyuan,Gyigang,2021-05-11 23:42:02,30,21
25,Bayan,Lusambo,2021-10-04 07:37:47,87,72
26,Klenak,Tranås,2021-03-18 18:49:48,4,4
27,Tuntum,Moita,2021-07-30 22:21:56,24,12
28,Ilyich,Saint-Jean-de-Luz,2021-12-04 11:00:50,39,67
29,Poljčane,Đoan Hùng,2021-11-24 14:17:34,86,35
30,Machetá,Tamuning-Tumon-Harmon Village,2021-12-02 23:30:41,28,93
31,Muraloka,Fukuoka-shi,2021-04-18 12:24:31,45,29
32,Shinshiro,Newport,2021-03-23 17:08:59,19,68
33,Skála Oropoú,Ujar,2021-12-11 17:57:11,19,36
34,Atins,Antananarivo,2022-01-11 15:30:35,68,12
35,Chơn Thành,Ōami,2021-08-10 03:50:25,75,88
36,Båstad,Sinacaban,2021-03-26 17:23:10,67,2
37,Palcamayo,Gaocang,2021-10-22 22:10:44,82,77
38,Mullagh,Bayuin,2021-07-24 21:09:11,2,56
39,Cibungur,Vilela,2021-01-19 06:18:37,98,22
40,Loučovice,Bobon,2022-01-17 01:53:42,93,81
41,Čížkovice,San Agustín Acasaguastlán,2021-02-22 16:42:25,10,90
42,Lyon,Hoani,2021-07-08 20:42:10,28,54
43,Naka,Tupsan,2021-02-15 21:42:40,37,91
44,Kaputian,Miastków Kościelny,2022-01-28 04:31:53,61,25
45,Tabonoc,Mezinovskiy,2021-04-12 21:51:11,41,35
46,Yongxing,Mīrwāh Gorchani,2021-12-03 07:55:17,17,31
47,San Isidro,Huangcun,2021-12-04 03:35:46,99,81
48,Kokterek,Nangewer,2021-07-05 14:24:12,75,12
49,Örebro,West Palm Beach,2021-06-17 02:42:13,30,13
50,Bangunsari,Pacaraos,2021-04-04 12:38:55,9,68
51,Chenglin,Gongyi,2021-07-03 08:51:34,77,2
52,Olszówka,Ambo Village,2022-01-02 16:11:53,10,60
53,Huangzhou,Toledo,2022-01-06 08:47:52,35,99
54,Kharbathā Banī Ḩārith,Shangde,2021-12-12 04:11:28,50,58
55,Yuncheng,Batakte,2021-10-03 20:45:23,90,4
56,Sieradza,Maño,2021-05-17 17:14:54,35,70
57,Torres,Oklahoma City,2021-10-15 08:32:07,1,93
58,Sujitan,Fengping,2021-11-25 09:04:24,49,73
59,Novovorontsovka,Ueda,2021-05-30 14:42:06,2,36
60,Iperó,Gangbian,2021-07-31 12:51:26,55,57
61,Kuala Lumpur,Juexi,2021-08-17 01:21:55,73,62
62,Colonia Aurora,Gaoqiaolou,2021-10-27 04:20:14,51,88
63,Musalerr,Stará Ves nad Ondřejnicí,2021-08-21 05:09:27,80,68
64,Pedro II,Tamnag,2021-01-22 13:49:00,33,56
65,Ketangi,Zhukovskiy,2021-10-19 11:47:05,28,88
66,Wutun,Liangshui,2021-01-26 17:59:14,13,94
67,Santo Domingo,El Quetzal,2021-06-05 09:53:16,5,49
68,Goujie,Xinfeng,2021-01-28 13:26:48,44,82
69,Winston Salem,Shengli,2021-07-04 11:53:26,16,98
70,Istaravshan,Yushan,2021-04-21 23:15:43,78,45
71,Södertälje,Nieuw Nickerie,2021-09-28 21:39:17,100,42
72,Przytyk,Shimanovsk,2021-01-17 03:33:14,95,22
73,Benito Juarez,Mosteiró,2021-12-17 17:37:03,38,87
74,Moxi,Masinloc,2021-05-29 20:16:07,86,70
75,Kynopiástes,Shawnee Mission,2021-03-14 12:38:45,76,63
76,Sakhnīn,Gaya,2021-04-16 16:38:10,90,2
77,Muqui,Balpyk Bī,2021-10-03 14:59:05,5,88
78,Aparecida de Goiânia,Mizoch,2021-08-07 09:26:04,95,29
79,Hanghuadian,Águas,2021-02-01 21:58:32,33,37
80,Trbovlje,Hāla,2021-09-16 04:23:50,38,58
81,Burlatskoye,Manoel Urbano,2021-01-24 22:41:27,46,73
82,Las Vegas,Pitogo,2021-02-24 16:48:10,10,49
83,Soito,Panchagarh,2021-10-10 22:25:55,53,25
84,Huidong,Sidon,2022-01-05 19:55:51,7,89
85,Fundación,Hulutao,2021-12-07 17:19:30,53,100
86,Ghāro,Nijemci,2021-12-17 22:50:05,53,60
87,Primorsko-Akhtarsk,Thị Trấn Hà Trung,2021-12-01 23:07:50,68,44
88,Ribeirão Pires,Sūrīān,2021-12-21 16:30:20,47,56
89,Kamphaeng Phet,Lamphun,2021-02-04 10:01:52,17,33
90,Hongyang,Lipahan,2021-12-24 22:28:24,13,63
91,Tulung,Khlong Sam Wa,2021-09-01 05:19:18,9,35
